"Variable","Mean (In Sample)","SE (In Sample)","Median (In Sample)","IQR (In Sample)","Mean (Not In Sample)","SE (Not In Sample)","Median (Not In Sample)","IQR (Not In Sample)","Difference in Means","P-value"
"msafips",4765.90909090909,247.254901318246,4800,4600,4328.64705882353,165.041736779983,3920,4290,437.262032085561,0.14952793294546
"pop1890",66043.9661016949,13406.6418966598,21805,37165.5,129828.891304348,24355.8474037376,25807,51797.5,-63784.9252026529,0.288403406990655
"b1890",1764.29824561404,488.174725445135,480,1094,2785.91111111111,372.687753052546,363,2861,-1021.61286549708,0.366154041691048
"fb1890",18463.9122807018,3722.99802903089,4210,12065,46090.2888888889,9596.612274217,6160,10178,-27626.3766081871,0.237135638393885
"ward1890",13.4210526315789,0.685890725750807,11,6.5,17.7777777777778,1.00727994680076,9.5,18,-4.35672514619883,0.299232863291655
"pop1900",117995.465116279,18593.3735414277,62059,71357.5,260214.875,41925.7406207,46523,131970,-142219.409883721,0.245201646542622
"b1900",3339.81395348837,870.703891192447,1178,1581,6543.21875,756.000130910806,2983.5,4909.25,-3203.40479651163,0.214894107909689
"fb1900",28358.3255813953,4504.44392251154,12192,20074,83469.65625,15317.6573276563,9673.5,36410.75,-55111.3306686047,0.210319998758631
"ward1900",14.375,0.758145372153654,12.5,8.5,23.2,1.31709037714059,15,19.5,-8.825,0.13352109686807
"area1900",11764.3218017578,1183.45222435694,7066,10189.7001953125,19283.3324865393,2215.1763257751,5288,15877,-7519.01068478146,0.215089063454754
"pop1910",157382.847826087,21951.2706741064,87647,104643.25,285948.65,51719.1893364631,47374.5,151075.25,-128565.802173913,0.339270750192933
"b1910",4546.63043478261,1138.34716121763,1605.5,2069.25,7283.6,1026.65274703656,2105.5,5531.25,-2736.96956521739,0.386995917170437
"fb1910",38425.6739130435,5780.17127056007,16006,36278.75,96997.1,20644.9673228938,9847.5,29232.25,-58571.4260869565,0.266904760755567
"ward1910",13.7241379310345,0.743685163246612,12,8,17.1052631578947,0.871327558914652,12,10.5,-3.38112522686025,0.340568527928109
"area1910",14626.4258443898,1348.52247892661,9184.5,15323.625,20317.4895533512,2178.07669690269,8074,21443.6500244141,-5691.06370896134,0.337664775409206
"passpc",179.000164325421,6.37891669217628,169.300903320312,78.8859024047852,204.213748585094,3.26123535686042,208.546005249023,66.4044494628906,-25.2135842596734,0.321160850097815
"bsvtsh",0.20706713550231,0.00474973769152009,0.192978203296661,0.0562831908464432,0.209534654250512,0.00340316400852979,0.193401098251343,0.0480627119541168,-0.00246751874820139,0.900222752617861
"pop1920",240113.095238095,28341.5816279309,137835,166365,434451.15625,67871.2585038191,93362.5,206756.5,-194338.061011905,0.323903749524122
"b1920",8823.38095238095,1936.46925083371,3410.5,4212.25,15975.3125,2055.70661315517,5494.5,5968.25,-7151.93154761905,0.282168632518434
"fb1920",52298.4047619048,6869.57464212897,33077.5,36841.75,125675.4375,23666.2847251658,16257.5,49152,-73377.0327380952,0.278871994998309
"ward1920",13.90625,0.808630919688453,12.5,8.75,15.64,0.792469639848304,11,8,-1.73375,0.558746828455074
"area1920",18480.498453776,2808.02836400954,10869.7998046875,13727.6000976562,18587.3160205078,2007.44393698462,8595.5,17881.1751708984,-106.81756673177,0.985623136970316
"pop1930",275600.125,34155.8279630109,153196,189334.25,509275.090909091,82657.3484088856,113643,226444,-233674.965909091,0.320816695001103
"b1930",14267.9375,3253.88658526404,3319,9147.5,28530.6666666667,4338.66157060616,5756,9114,-14262.7291666667,0.275718026212612
"fb1930",49849.5416666667,7308.80833419722,27525.5,35938.25,131090.696969697,26551.2088718581,15279,36095,-81241.1553030303,0.276320177016033
"ward1930",14.0238095238095,0.798983453934179,12,10.75,17.1071428571429,1.07814779859445,11,8.25,-3.08333333333333,0.380214869308179
"area1930",20722.9903893849,3386.6118394144,11460,15833.1997070312,20609.9400146484,2049.88043543589,9668.4501953125,20647.7998046875,113.050374736486,0.986228502958671
"pop1940",203676.338028169,31201.0928614374,99314,150382.5,390895.127659574,74588.3345892631,97062,168437.5,-187218.789631405,0.290900131832531
"b1940",11853.1267605634,3208.11011298424,2427,5189.5,25528.2340425532,4922.00219800728,4858,9317.5,-13675.1072819898,0.25962833053156
"fb1940",29087.0281690141,5274.04826913935,8195,22970,80438.8936170213,20088.3317628023,10652,21737.5,-51351.8654480072,0.274646716228975
"ward1940",14.1219512195122,0.838434965211336,12,11,15.9285714285714,0.890907019899137,11,12.75,-1.80662020905923,0.551261870029386
"tract1940",103.347826086957,9.55676656350098,61,54,146.058823529412,13.9413600343669,63,126,-42.7109974424553,0.464766096568034
"area1940",27137.3617021277,3873.08387771713,17664,21088,32855.2727272727,2840.80010936962,19232,25024,-5717.91102514507,0.617260849096455
"pop1950",486283.5,51804.0163831622,262861,331428.25,621971.366666667,97032.2127993252,148235.5,315642.25,-135687.866666667,0.653080778100455
"b1950",49500.3846153846,8395.25342756898,15072.5,29018.75,62476.3,10082.2039930506,11669.5,30331.25,-12975.9153846154,0.705090282317335
"fb1950",56068.7692307692,6945.12304812462,24738.5,31673.25,102190.033333333,21180.445248871,14612,16730,-46121.2641025641,0.465665928252774
"tract1950",96.1538461538462,9.72102406970395,61,51.5,162.2,28.5037310843739,33.5,63.25,-66.0461538461538,0.438832384304144
"pop1960",623836.3,98455.0129937329,285322,337140.5,965996.972972973,126463.889559716,343231,519155,-342160.672972973,0.339547516532704
"b1960",48216.0666666667,10978.4462567358,12091,20837,88048.1351351351,15562.8333415914,12939,34547,-39832.0684684685,0.359567764825502
"fb1960",46354.2,9143.1000317117,16304.5,27754.5,100926.540540541,20232.1968932065,14895,34602,-54572.3405405406,0.3160803786458
"tract1960",146.033333333333,22.8811246540462,67.5,72,236.702702702703,31.5332837194046,82,148,-90.6693693693694,0.305658449290477
"pop1970",681598.716216216,101427.298401841,303320,436559,919238.68627451,118842.060029777,342301,745148.5,-237639.970058294,0.417463221119081
"b1970",62390.2297297297,14580.7755252298,15218,27552.25,96205.5490196078,19732.6952325335,17055,43677.5,-33815.3192898781,0.475959470997273
"fb1970",38866.2972972973,8675.07945768401,11399.5,18772.75,69455,14163.3464118862,12221,29918,-30588.7027027027,0.357872776381076
"tract1970",161.810810810811,23.4379191153321,74.5,99.75,211.117647058824,28.0091699474971,84,164,-49.3068362480127,0.473454781985426
"area1970",1615.08219178082,156.462467117481,1087,1538,2344.36170212766,264.184657917977,1198,1617.5,-729.279510346838,0.257168972988028
"gum",0.247600930842979,0.0205583869998625,0.178464397788048,0.383210808038712,0.236934849202795,0.0117806155753309,0.197887547314167,0.224295757710934,0.010666081640184,0.705377335042269
"h1970",27706.9882352941,10640.0538522069,4131,10169,113050.376811594,12043.7341817504,20200,288573,-85343.3885763001,0.00141029652605677
"pop1980",567135.917431193,91110.5030971169,264748,310798,777234.590909091,92790.4187164129,328973.5,502122.5,-210098.673477898,0.303688448048575
"b1980",52620.8073394495,14148.938384425,12318,29495,88343.9848484848,18767.0927315856,13945,41326.75,-35723.1775090353,0.364385929321986
"fb1980",46541.5963302752,15497.5991680894,10815,17785,76567.9696969697,16328.6569349888,14238,47278,-30026.3733666945,0.399700098589324
"tract1980",137.211009174312,21.5723279016898,65,68,169.666666666667,17.2643658476569,80.5,134.5,-32.4556574923547,0.422656955825268
"h1980",43259.7889908257,18505.2726944851,6093,16296,64626.2272727273,12712.5039717592,8624.5,37255.5,-21366.4382819016,0.496586457151121
"pop1990",590188.495867769,96574.4478628914,273064,321645,689768.265060241,78444.4004855293,278990,539572.5,-99579.7691924723,0.549505390614591
"b1990",54293.6611570248,14049.7330154557,13770,35404,82011.8674698795,18281.123286518,13456,46151.5,-27718.2063128547,0.422934230193426
"tract1990",137.495867768595,20.8940958219262,69,75,203.686567164179,23.4621200602799,94,183,-66.1906993955841,0.185009989302422
"area1990",1825.88594578514,262.051254265393,1031.09997558594,1345.5,2386.98987024042,266.03746898882,1198,2306.44995117188,-561.103924455273,0.298649781549441
"h1990",64748.5537190083,28282.7939264581,7924,28076,89538.223880597,15807.4076475968,13047,62541,-24789.6701615888,0.550542735350465
"pwdens",1270.51956176758,75.1196459094638,1058.74670410156,689.004150390625,1808.0754435525,176.464317705716,1252.56750488281,821.208953857422,-537.555881784923,0.125026208240336
"ngov62",55.5507246376812,5.64634996455132,39,48,62.925,4.14572944722309,43.5,71,-7.37427536231884,0.56352097296728
"revig62",0.248401377512061,0.00502768830293596,0.258273214101791,0.116324484348297,0.262135786563158,0.00447851678112888,0.258273214101791,0.0651039928197861,-0.013734409051097,0.292653261667651
"medinc",31606.4710743802,572.361319119811,30797,8439,31483.7444444444,433.234238610946,30585,6250,122.726629935722,0.893663016793151
"manshr",0.189176626469906,0.00611077672662735,0.187856301665306,0.0984553545713425,0.172131686561531,0.00449394367161261,0.169701300561428,0.0785567462444305,0.0170449399083757,0.123604351909763
"incseg",0.217343040350555,0.00293152866510356,0.218187302350998,0.0486065000295639,0.23033331669867,0.00242864049672616,0.240572698414326,0.0491542927920818,-0.0129902763481157,0.074071124954271
"bincseg",0.545950235663981,0.00673132142191376,0.551236629486084,0.101302802562714,0.554398412257433,0.00493302090699145,0.561737954616547,0.0948817878961563,-0.00844817659345221,0.578340577448021
"educex",-0.088206528940751,0.00379674578539852,-0.0831587985157967,0.048158697783947,-0.0838304226286709,0.00271121613143104,-0.0802886001765728,0.0432944260537624,-0.00437610631208002,0.603632889755291
"singmom",0.260257363682339,0.0120387931399631,0.286811605095863,0.143408562988043,0.236358120990917,0.00706833445119224,0.245166204869747,0.133126094937325,0.0238992426914218,0.317340711626523
"meduc",-0.143100117288722,0.0099341682777526,-0.140418097376823,0.130811830982566,-0.162491607724223,0.00763614557068125,-0.143789649009705,0.110826630145311,0.0193914904355016,0.404112788124969
"ttwork",-0.437052945222925,0.272303472871924,0.0844306498765945,3.50494781136513,0.823397070541978,0.209528217847103,1.37535953521729,3.72892892360687,-1.2604500157649,0.050404084048893
"dism1890",0.382850614033247,0.00947455268702774,0.39768722653389,0.121129065752029,0.385033066074053,0.0086409491415136,0.398005977272987,0.17985738068819,-0.00218245204080619,0.956721304219884
"isol1890",0.0527942057110761,0.00305362531144231,0.0475310012698174,0.0386196495965123,0.0487154503870341,0.00188309581905666,0.0401611998677254,0.0419341246597469,0.00407875532404198,0.696892106160276
"dism1900",0.411762839804093,0.010499462870017,0.381575077772141,0.148039191961288,0.439952687422434,0.00666222844348321,0.419690698385239,0.131882652640343,-0.0281898476183414,0.437167584742486
"isol1900",0.0706427992942433,0.00337625374434747,0.0600822493433952,0.0482565760612488,0.0557131662964821,0.00112563207348893,0.0565977990627289,0.023395948112011,0.0149296329977612,0.100328012761995
"dism1910",0.422531762513621,0.0110430716878329,0.401025116443634,0.135439187288284,0.449494143849925,0.00663752116733178,0.429384231567383,0.103440269827843,-0.0269623813363039,0.416367628261535
"isol1910",0.075503965358025,0.00533810116208073,0.0553568005561829,0.0420536026358604,0.072562063112855,0.00198114280575355,0.0690362975001335,0.0449414011090994,0.00294190224517009,0.822373148122046
"dism1920",0.467091639060527,0.0111723757551887,0.471378058195114,0.144567795097828,0.485866488814354,0.00910107374902419,0.453334420919418,0.16825795173645,-0.0187748497538269,0.603171144026147
"isol1920",0.0989562751492485,0.00581981107144416,0.0867507010698318,0.0937121044844389,0.119733879864216,0.00513764100439497,0.0944067016243935,0.115869395434856,-0.0207776047149673,0.297011626830721
